Country	date	Year	Population	vaccine	total_vaccinations	Vaccinations pr country	Vaccinated people pr country
Latvia	2020-12-04	2020	1897052	Moderna	1	1	0
Latvia	2020-12-07	2020	1897052	Pfizer/BioNTech	1	2	1
Latvia	2020-12-09	2020	1897052	Pfizer/BioNTech	2	4	2
Latvia	2020-12-15	2020	1897052	Pfizer/BioNTech	3	7	4
Latvia	2020-12-16	2020	1897052	Pfizer/BioNTech	4	11	6
Latvia	2020-12-17	2020	1897052	Pfizer/BioNTech	5	16	8
Denmark	2020-12-18	2020	5825641	Pfizer/BioNTech	2	2	1
Latvia	2020-12-18	2020	1897052	Pfizer/BioNTech	9	25	12
Latvia	2020-12-20	2020	1897052	Moderna	4	29	14
Latvia	2020-12-20	2020	1897052	Pfizer/BioNTech	10	39	20
Latvia	2020-12-21	2020	1897052	Pfizer/BioNTech	14	53	26
Switzerland	2020-12-21	2020	8638613	Johnson&Johnson	1	1	0
Latvia	2020-12-22	2020	1897052	Pfizer/BioNTech	19	72	36
Switzerland	2020-12-22	2020	8638613	Johnson&Johnson	1	2	1
Switzerland	2020-12-22	2020	8638613	Pfizer/BioNTech	2	4	2
Latvia	2020-12-23	2020	1897052	Pfizer/BioNTech	23	95	48
Switzerland	2020-12-23	2020	8638613	Johnson&Johnson	1	5	2
Switzerland	2020-12-23	2020	8638613	Moderna	1	6	3
Switzerland	2020-12-23	2020	8638613	Pfizer/BioNTech	428	434	217
Chile	2020-12-24	2020	19300315	Pfizer/BioNTech	420	420	210
Latvia	2020-12-24	2020	1897052	Pfizer/BioNTech	26	121	60
Switzerland	2020-12-24	2020	8638613	Johnson&Johnson	1	435	218
Switzerland	2020-12-24	2020	8638613	Moderna	1	436	218
Switzerland	2020-12-24	2020	8638613	Pfizer/BioNTech	693	1129	564
Chile	2020-12-25	2020	19300315	Pfizer/BioNTech	5199	5619	2810
Denmark	2020-12-25	2020	5825641	Pfizer/BioNTech	7	9	4
Switzerland	2020-12-25	2020	8638613	Johnson&Johnson	1	1130	565
Switzerland	2020-12-25	2020	8638613	Moderna	2	1132	566
Switzerland	2020-12-25	2020	8638613	Pfizer/BioNTech	693	1825	912
Chile	2020-12-26	2020	19300315	Pfizer/BioNTech	8340	13959	6980
Latvia	2020-12-26	2020	1897052	Pfizer/BioNTech	29	150	75
Switzerland	2020-12-26	2020	8638613	Johnson&Johnson	1	1826	913
Switzerland	2020-12-26	2020	8638613	Moderna	2	1828	914
Switzerland	2020-12-26	2020	8638613	Pfizer/BioNTech	1129	2957	1478
Chile	2020-12-27	2020	19300315	Pfizer/BioNTech	8649	22608	11304
Czechia	2020-12-27	2020	NA	Pfizer/BioNTech	1287	1287	644
France	2020-12-27	2020	64480053	Pfizer/BioNTech	593	593	296
Germany	2020-12-27	2020	83328988	Johnson&Johnson	0	0	0
