Country	date	Year	Population	vaccine	total_vaccinations	Vaccinations pr country	Vaccinated people pr country	Percentage Vaccinated
Latvia	2020-12-04	2020	1897052	Moderna	1	1	0	0
Latvia	2020-12-07	2020	1897052	Pfizer/BioNTech	1	2	1	5.271336789924578e-5
Latvia	2020-12-09	2020	1897052	Pfizer/BioNTech	2	4	2	1.0542673579849156e-4
Latvia	2020-12-15	2020	1897052	Pfizer/BioNTech	3	7	4	2.108534715969831e-4
Latvia	2020-12-16	2020	1897052	Pfizer/BioNTech	4	11	6	3.1628020739547466e-4
Latvia	2020-12-17	2020	1897052	Pfizer/BioNTech	5	16	8	4.217069431939662e-4
Denmark	2020-12-18	2020	5825641	Pfizer/BioNTech	2	2	1	1.7165493033298825e-5
Latvia	2020-12-18	2020	1897052	Pfizer/BioNTech	9	25	12	6.325604147909493e-4
Latvia	2020-12-20	2020	1897052	Moderna	4	29	14	7.379871505894409e-4
Latvia	2020-12-20	2020	1897052	Pfizer/BioNTech	10	39	20	0.0010542673579849154
Latvia	2020-12-21	2020	1897052	Pfizer/BioNTech	14	53	26	0.0013705475653803902
Switzerland	2020-12-21	2020	8638613	Johnson&Johnson	1	1	0	0
Latvia	2020-12-22	2020	1897052	Pfizer/BioNTech	19	72	36	0.001897681244372848
Switzerland	2020-12-22	2020	8638613	Johnson&Johnson	1	2	1	1.1575932386368043e-5
Switzerland	2020-12-22	2020	8638613	Pfizer/BioNTech	2	4	2	2.3151864772736085e-5
Latvia	2020-12-23	2020	1897052	Pfizer/BioNTech	23	95	48	0.0025302416591637972
Switzerland	2020-12-23	2020	8638613	Johnson&Johnson	1	5	2	2.3151864772736085e-5
Switzerland	2020-12-23	2020	8638613	Moderna	1	6	3	3.472779715910413e-5
Switzerland	2020-12-23	2020	8638613	Pfizer/BioNTech	428	434	217	0.0025119773278418655
Chile	2020-12-24	2020	19300315	Pfizer/BioNTech	420	420	210	0.0010880651429782365
Latvia	2020-12-24	2020	1897052	Pfizer/BioNTech	26	121	60	0.0031628020739547466
Switzerland	2020-12-24	2020	8638613	Johnson&Johnson	1	435	218	0.0025235532602282335
Switzerland	2020-12-24	2020	8638613	Moderna	1	436	218	0.0025235532602282335
Switzerland	2020-12-24	2020	8638613	Pfizer/BioNTech	693	1129	564	0.006528825865911576
Chile	2020-12-25	2020	19300315	Pfizer/BioNTech	5199	5619	2810	0.014559347865565926
Denmark	2020-12-25	2020	5825641	Pfizer/BioNTech	7	9	4	6.86619721331953e-5
Switzerland	2020-12-25	2020	8638613	Johnson&Johnson	1	1130	565	0.006540401798297945
Switzerland	2020-12-25	2020	8638613	Moderna	2	1132	566	0.006551977730684312
Switzerland	2020-12-25	2020	8638613	Pfizer/BioNTech	693	1825	912	0.010557250336367657
Chile	2020-12-26	2020	19300315	Pfizer/BioNTech	8340	13959	6980	0.036165212847562335
Latvia	2020-12-26	2020	1897052	Pfizer/BioNTech	29	150	75	0.003953502592443433
Switzerland	2020-12-26	2020	8638613	Johnson&Johnson	1	1826	913	0.010568826268754024
Switzerland	2020-12-26	2020	8638613	Moderna	2	1828	914	0.010580402201140392
Switzerland	2020-12-26	2020	8638613	Pfizer/BioNTech	1129	2957	1478	0.017109228067051965
Chile	2020-12-27	2020	19300315	Pfizer/BioNTech	8649	22608	11304	0.05856899226774277
Czechia	2020-12-27	2020	NA	Pfizer/BioNTech	1287	1287	644	NA
France	2020-12-27	2020	64480053	Pfizer/BioNTech	593	593	296	4.590566946339204e-4
Germany	2020-12-27	2020	83328988	Johnson&Johnson	0	0	0	0
Germany	2020-12-27	2020	83328988	Moderna	8	8	4	4.800250304251865e-6
Germany	2020-12-27	2020	83328988	Novavax	0	8	4	4.800250304251865e-6
Germany	2020-12-27	2020	83328988	Oxford/AstraZeneca	1	9	4	4.800250304251865e-6
Germany	2020-12-27	2020	83328988	Pfizer/BioNTech	24367	24376	12188	0.014626362677055431
Italy	2020-12-27	2020	59500579	Moderna	2	2	1	1.6806559142895061e-6
Italy	2020-12-27	2020	59500579	Pfizer/BioNTech	7347	7349	3674	0.006174729829099647
Latvia	2020-12-27	2020	1897052	Pfizer/BioNTech	34	184	92	0.004849629846730611
Romania	2020-12-27	2020	19442038	Pfizer/BioNTech	965	965	482	0.0024791639641893507
Switzerland	2020-12-27	2020	8638613	Johnson&Johnson	1	2958	1479	0.017120803999438335
Switzerland	2020-12-27	2020	8638613	Moderna	2	2960	1480	0.017132379931824704
Switzerland	2020-12-27	2020	8638613	Pfizer/BioNTech	1129	4089	2044	0.02366120579773628
European Union	2020-12-27	2020	NA	Covaxin	0	0	0	NA
European Union	2020-12-27	2020	NA	Johnson&Johnson	0	0	0	NA
European Union	2020-12-27	2020	NA	Moderna	14	14	7	NA
European Union	2020-12-27	2020	NA	Novavax	0	14	7	NA
European Union	2020-12-27	2020	NA	Oxford/AstraZeneca	1	15	8	NA
European Union	2020-12-27	2020	NA	Pfizer/BioNTech	34600	34615	17308	NA
European Union	2020-12-27	2020	NA	Sinopharm/Beijing	0	34615	17308	NA
European Union	2020-12-27	2020	NA	Sinovac	0	34615	17308	NA
European Union	2020-12-27	2020	NA	Sputnik V	0	34615	17308	NA
Chile	2020-12-28	2020	19300315	Pfizer/BioNTech	8649	31257	15628	0.08097277168792323
Czechia	2020-12-28	2020	NA	Pfizer/BioNTech	3590	4877	2438	NA
France	2020-12-28	2020	64480053	Pfizer/BioNTech	1242	1835	918	0.0014236961002497936
Germany	2020-12-28	2020	83328988	Johnson&Johnson	0	24376	12188	0.014626362677055431
Germany	2020-12-28	2020	83328988	Moderna	9	24385	12192	0.014631162927359683
Germany	2020-12-28	2020	83328988	Novavax	0	24385	12192	0.014631162927359683
Germany	2020-12-28	2020	83328988	Oxford/AstraZeneca	2	24387	12194	0.014633563052511811
Germany	2020-12-28	2020	83328988	Pfizer/BioNTech	42466	66853	33426	0.04011329166748071
Italy	2020-12-28	2020	59500579	Moderna	6	7355	3678	0.006181452452756804
Italy	2020-12-28	2020	59500579	Pfizer/BioNTech	8848	16203	8102	0.013616674217573581
Latvia	2020-12-28	2020	1897052	Pfizer/BioNTech	640	824	412	0.02171790757448926
Romania	2020-12-28	2020	19442038	Pfizer/BioNTech	2066	3031	1516	0.007797536451682689
Switzerland	2020-12-28	2020	8638613	Johnson&Johnson	1	4090	2045	0.023672781730122647
Switzerland	2020-12-28	2020	8638613	Moderna	2	4092	2046	0.023684357662509016
Switzerland	2020-12-28	2020	8638613	Pfizer/BioNTech	2757	6849	3424	0.03963599249092418
European Union	2020-12-28	2020	NA	Covaxin	0	34615	17308	NA
European Union	2020-12-28	2020	NA	Johnson&Johnson	0	34615	17308	NA
European Union	2020-12-28	2020	NA	Moderna	19	34634	17317	NA
European Union	2020-12-28	2020	NA	Novavax	0	34634	17317	NA
European Union	2020-12-28	2020	NA	Oxford/AstraZeneca	2	34636	17318	NA
European Union	2020-12-28	2020	NA	Pfizer/BioNTech	58859	93495	46748	NA
European Union	2020-12-28	2020	NA	Sinopharm/Beijing	0	93495	46748	NA
European Union	2020-12-28	2020	NA	Sinovac	0	93495	46748	NA
European Union	2020-12-28	2020	NA	Sputnik V	0	93495	46748	NA
Argentina	2020-12-29	2020	45036032	Moderna	2	2	1	2.2204442878093702e-6
Argentina	2020-12-29	2020	45036032	Oxford/AstraZeneca	3	5	2	4.4408885756187405e-6
Argentina	2020-12-29	2020	45036032	Sinopharm/Beijing	1	6	3	6.66133286342811e-6
Argentina	2020-12-29	2020	45036032	Sputnik V	20481	20487	10244	0.022746231284319185
Chile	2020-12-29	2020	19300315	Pfizer/BioNTech	8649	39906	19953	0.10338173237068929
Czechia	2020-12-29	2020	NA	Pfizer/BioNTech	7063	11940	5970	NA
France	2020-12-29	2020	64480053	Pfizer/BioNTech	1610	3445	1722	0.0026705933383770635
Germany	2020-12-29	2020	83328988	Johnson&Johnson	0	66853	33426	0.04011329166748071
Germany	2020-12-29	2020	83328988	Moderna	9	66862	33431	0.04011929198036102
Germany	2020-12-29	2020	83328988	Novavax	0	66862	33431	0.04011929198036102
Germany	2020-12-29	2020	83328988	Oxford/AstraZeneca	3	66865	33432	0.040120492042937085
Germany	2020-12-29	2020	83328988	Pfizer/BioNTech	93170	160035	80018	0.09602660721140643
